,index,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
0,0,0.8394268191154399,0.031315086724684776,0.026356612595172454,0.00564769123073865,0.022000933359836144,0.035888982032823154,0.020693797478199997,0.01867007746310492
1,1,0.3918066467752093,0.12588401697312587,0.06590679923049657,0.11184298826128702,0.06519098208048126,0.11596237830248092,0.07483730646265878,0.048568881914260245
2,2,0.6626081302400725,0.2219937685025321,0.008779132472581854,0.015072767379619807,0.023424704958123804,0.01852805283457682,0.03135721482244227,0.018236228790050907
3,3,0.2719073308843319,0.4051042719286348,0.11507371503764044,0.04537588242520734,0.07508061750058408,0.04546535879669903,0.033233370709838776,0.00875945271706364
4,4,0.7003615151608078,0.09580662857298619,0.04506502843396811,0.08171401118277812,0.016460695022266745,0.03772228412161356,0.01681505484058919,0.006054782664990272
5,5,0.8248346689488836,0.06457636349490391,0.020641095464093987,0.017637905547343034,0.013794444876682486,0.03586711273632615,0.01864156228117949,0.004006846650587412
